,property_title,property_location,property_area,property_bedrooms,property_bathrooms,property_description,property_agent,property_price
2232,"
6 bedroom house for sale in Kitisuru
","

Kitisuru, Westlands

",-,"
6
",-,"
6BEDROOM STANDALONE HOUSE ON SALE IN KITSURU
",Canaan Properties,"
KSh 140,000,000
"
2233,"
4 bedroom townhouse for sale in Kiambu Road
","

Mushroom Estate, Kiambu Road, Kiambu Road

",-,"
4
","








5

","
4 Bedroom Villa for Sale in Mushroom Estate Kia...
",Sky Limits Ventures,"
KSh 88,000,000
"
2234,"
5 bedroom house for sale in Lavington
","

Lavington Mall, Lavington, Dagoretti North

","
500 m²
","
5
","








6

","
New Villas FOR SALE 400 Meters From Lavington M...
",Sir Francis Marketing & Consultants Ltd,"
KSh 78,000,000
"
2235,"
4 bedroom townhouse for sale in Lavington
","

Lavington, Dagoretti North

",-,"
4
","








5

","
Imora
",HassConsult,"
KSh 60,000,000
"
2236,"
1 bedroom apartment for sale in Ngong Road
","

Junction Suites, Ngong Road, Ngong Road

","
435 ft²
","
1
","








1

","
1 Bedroom Apartment For Sale
",Royani Properties Limited,"
KSh 4,000,000
"
2237,"
Studio apartment for sale in Ngong Road
","

Wanyee Road, Ngong Road, Ngong Road

","
200 ft²
","
0
","








1

","
Studio Apartment For Sale-Tsavo Skywalk, Wanyee...
",Crystal Valuers LTD,"
KSh 2,000,000
"
2238,"
3 bedroom apartment for sale in Kilimani
","

Yaya Centre, Kilimani, Dagoretti North

","
150 m²
","
3
 ","








3

","
Ready For Occupation Apartment FOR SALE in Kili...
",Sir Francis Marketing & Consultants Ltd,"
KSh 14,500,000
"
2239,"
3 ac land for sale in Mombasa Road
","

Mombasa Road, Mombasa Road

","
3 ac
",-,-,"
3 Acre Plot, Maasai Road, Off Main Mombasa Road
",Dunhill Consulting Limited,"
KSh 300,000,000
"
2240,"
Land for sale in Thigiri
","

Thigiri, Westlands

",-,-,-,"
Prime 1/2 Acre Land For Sale in Thigiri road
",Live n Style Agencies,"
KSh 107,000,000
"
2241,"
6 bedroom house for sale in Karen
","

Karen, Langata

","
1 ac
","
6
","








8

","
Magnificent home for sale in Karen with an ext...
",First Villas,"
KSh 140,000,000
"
2242,"
3 bedroom apartment for sale in Upper Hill
","

Upper Hill, Langata

",-,"
3
",-,"
Magnificent 3 bedroom Duplex for sale in Upperh...
",PMC Estates Limited,"
KSh 18,000,000
"
2243,"
5 bedroom townhouse for sale in Karen
","

Karen, Langata

","
929 m²
","
5
","








5

","
1/2 House for sale in Karen
",Green Knight Properties,"
KSh 75,000,000
"
2244,"
8094 m² commercial land for sale in New Kitusuru
","

New Kitusuru, Westlands

","
8094 m²
",-,-,"
NEW KITISURU:COMMERCIAL 2ACRE PARCEL FOR SALE
",Jubilee Real Estate,"
KSh 250,000,000
"
2245,"
2 bedroom apartment for sale in Kilimani
","

Ole Dume, Kilimani, Dagoretti North

","
70 m²
","
2
","








2

","
New Apartment 2 Bedrooms From Ksh. 6.6M Under C...
",Sir Francis Marketing & Consultants Ltd,"
KSh 6,600,000
"
2246,"
1.5 ac commercial land for sale in Kilimani
","

Kilimani, Dagoretti North

","
1 ac
",-,-,"
1.3 acres plot in Kilimani for sale
",Kenya Classic Homes,"
KSh 350,000,000
"
2247,"
3 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
3
","








4

","
Kilimani:2 and 3 bedroom apartments for sale
",Royal Properties Market Limited,"
KSh 14,000,000
"
2248,"
1 bedroom apartment for sale in Kileleshwa
","

345/456, Siaya rd, Kileleshwa, Dagoretti North

",-,"
1
","








1

","
1bedroom apartment
",Didenco Investments,"
KSh 9,000,000
"
2249,"
2 bedroom apartment for sale in Karura
","

Karura, Westlands

",-,"
2
","








3

","
2, 3 & 4 Bedroom Overlooking Karura Forest
",Origin Homes,"
KSh 25,000,000
"
2250,"
Land for sale in Thika Road
","

GUMBA ESTATE, Garden City Mall, Thika Road, Thika Road

",-,-,-,"
The Eldridge
",LIKO Limited,"
KSh 11,000,000
"
2251,"
Studio apartment for sale in Kilimani
","

Kilimani, Kilimani, Dagoretti North

","
430 ft²
","
0
","








1

","
STUDIO APARTMENT NEAR YAYA CENTRE
",Balis Properties,"
KSh 3,500,000
"
2252,"
1 ac land for sale in Karen
","

Karen, Langata

","
1 ac
",-,-,"
1 acres vacant land for sale in Karen - 3KE1533...
",Pam Golding Properties,"
KSh 63,500,000
"
2253,"
0.9 ac land for sale in Kilimani
","

Kilimani, Dagoretti North

",-,-,-,"
PRIME 0.9 ACRES OFF MARCUS GARVEY ROAD NEAR YAY...
",A1 Properties Ltd,"
KSh 400,000,000
"
2254,"
6 bedroom house for sale in Gigiri
","

Gigiri, Westlands

",-,"
6
",-,"
Commercial house for sale
",Live n Style Agencies,"
KSh 130,000,000
"
2255,"
3 bedroom apartment for sale in Kiambu Road
","

Thindigua, Kiambu Road, Kiambu Road

",-,"
3
","








3

","
 Brand New 3br Apartments In Thindigua
",Jakharris Africa Ltd,"
KSh 11,500,000
"
2256,"
20235 m² land for sale in Karen
","

Windy Ridge, Karen, Langata

","
20235 m²
",-,-,"
Windy Ridge: 5 acres with a colonial house Wel...
",First Villas,"
KSh 325,000,000
"
2257,"
3157 m² residential land for sale in Westlands Area
","

Mvuli Road, Westlands Area, Westlands

","
3157 m²
",-,-,"
Prime Plot In Westlands
",Simkar Group Limited,"
KSh 320,000,000
"
2258,"
0.75 ac land for sale in Riverside
","

Nairobi, Off Riverside Drive, Riverside, Westlands

",-,-,-,"
0.75 Acre Redevelopment Plot Off Riverside Driv...
",Coral Property International Ltd,"
KSh 210,000,000
"
2259,"
1 bedroom apartment for sale in Kilimani
","

1015e, Kilimani Estate., Kilimani, Dagoretti North

","
390 ft²
","
1
","








1

","
Under construction: Prestigious self-contained...
",Ace Realtors Limited,"
KSh 3,800,000
"
2260,"
 5 bedroom townhouse for sale in Karen
","

6, Dagorreti Road, Karen, Langata

","
2024 m²
","
5
","








5

","
Exclusive Five Bedroom House For Sale in Karen
",Westside Real Estate,"
KSh 98,000,000
"
2261,"
0.125 ac residential land for sale in Ruai
","

Mwalimu farm, Access road, Ruai, Kasarani

",-,-,-,"
50X100 plots in Ruai for sale. New tarmack roa...
",First Villas,"
KSh 700,000
"
2262,"
3 bedroom apartment for sale in Loresho
","

WAIYAKI WAY, Loresho, Westlands

",-,"
3
","








3

","
3BEDROOM WITH SERVANT QUARTER
",-,"
KSh 19,000,000
"
2263,"
0.1939 ha residential land for sale in Karen
","

Karen, Langata

",-,-,-,"
Four half-acre parcels of land for sale in Kare...
",-,"
KSh 29,000,000
"
2264,"
4 bedroom townhouse for sale in Lavington
","

Chalbi Drive, Lavington, Dagoretti North

","
200 m²
","
4
","








3

","
4 Bedroom Townhouse for Sale in Ideal Lavington...
",-,"
KSh 36,500,000
"
2265,"
Land for sale in Nairobi Hardy
","

9, 9, Nairobi Hardy, Langata

",-,-,-,"
KARENVIEW GATAKA PLOTS - LIKE BUYING BITCOIN 10...
",-,"
KSh 60,000,000
"
2266,"
4 ac land for sale in Riruta
","

Gatura rd, Riruta, Dagoretti South

","
4 ac
",-,-,"
LAND FOR SALE
",-,"
KSh 200,000,000
"
2267,"
Furnished 6 bedroom house for sale in Kyuna
","

Kyuna, Westlands

",-,"
6
","








6

","
KYUNA:AMBASSADORIAL 6BEDROOM RESIDENCE ON 2ACRE...
",-,"
KSh 300,000,000
"
2268,"
0.5 ac land for sale in Gigiri
","

Gigiri, Westlands

",-,-,-,"
GIGIRI:HALF ACRE PARCEL FOR SALE
",-,"
KSh 100,000,000
"
2269,"
12141 m² land for sale in Nyari
","

Nyari, Westlands

","
12141 m²
",-,-,"
NYARI:COMMERCIAL 3ACRES FOR SALE TOUCHING MAIN...
",-,"
KSh 130,000,000
"
2270,"
Land for sale in Kitisuru
","

Kitisuru, Westlands

",-,-,-,"
OLD KITISURU:RESIDENTIAL 1ACRE &0.5ACRES FOR SA...
",-,"
KSh 120,000,000
"
2271,"
4 bedroom villa for sale in Karen
","

Kerarapon Drive, Karen, Langata

",-,"
4
","








5

","
4 Bedroom Villa for sale In Karen, Kerarapon Dr...
",Mencia Management Ltd.,"
KSh 37,000,000
"
2272,"
4 bedroom townhouse for sale in Langata Area
","

Langata Area, Langata

",-,"
4
","








4

","
4 Bedroom townhouse
",Azizi Realtors,"
KSh 33,000,000
"
2273,"
5 bedroom townhouse for sale in Lavington
","

Lavington, Dagoretti North

",-,"
5
","








5

","
📍LAVINGTON✨5BEDROOM VILLA FOR SALE..Price shs 8...
",Badilisha Properties,"
KSh 83,000,000
"
2274,"
4 bedroom townhouse for sale in Loresho
","

Waterfront Gardens Estate, Loresho, Westlands

","
18 m²
","
4
","








3

","
4 Bed House for sale in Waterfront Gardens Esta...
",Crystal Valuers LTD,"
KSh 27,500,000
"
2275,"
6 bedroom house for sale in Runda
","

Runda, Westlands

",-,"
6
","








6

","
6 Bedroom Ultra Modern Ambassadorial Mansion at...
",Afrique Properties Limited,"
KSh 270,000,000
"
2276,"
3 bedroom townhouse for sale in Kiambu Road
","

Mushroom Gardens, Kiambu Road, Kiambu Road

","
524 m²
","
3
","








3

","
MUSHROOM GARDENS TOWNHOUSE FOR SALE- KIAMBU ROA...
",Antel Ltd,"
KSh 56,000,000
"
2277,"
5 bedroom townhouse for sale in Karen
","

ololua Ridge, Karen, Langata

","
6488 ft²
","
5
","








5

","
5 bedroom townhouse for sale in Karen
",Crystal Valuers LTD,"
KSh 89,000,000
"
2278,"
2 bedroom apartment for sale in Kilimani
","

Argwings Khodek, Kilimani, Dagoretti North

",-,"
2
","








3

","
Two bedroom for sale in Kilimani
",Knitter Properties Kenya,"
KSh 14,500,000
"
2279,"
4 bedroom townhouse for sale in Kitisuru
","

Kitisuru, Westlands

",-,"
4
",-,"
4 Bedroom House For Sale in Kitisuru
",Cura International,"
KSh 29,000,000
"
2280,"
5 bedroom house for sale in Loresho
","

Shinyalu Road, Loresho, Loresho, Westlands

",-,"
5
","








3

","
5 bedroom House for sale, LORESHO
",Regent Management Ltd,"
KSh 55,000,000
"
2281,"
Studio apartment for sale in Nairobi West
","

Nairobi West, Langata

",-,"
0
",-,"
Studio Apartment for Sale in Nairobi West
",Ring Kenya Ltd,"
KSh 2,700,000
"
2282,"
4 bedroom house for sale in South B
","

plainsview, South B, Langata

",-,"
4
",-,"
Beautiful 4 bedroom house for sale
",Blue Falcon Estate Agent,"
KSh 16,000,000
"
2283,"
4 bedroom house for sale in Karen
","

Karen Ridge, Karen, Langata

","
2024 m²
","
4
","








4

","
4 Bedroom Standalone House For Sale in Karen
",Simkar Group Limited,"
KSh 60,000,000
"
2284,"
5 bedroom townhouse for sale in Lavington
","

Lavinton Green, Lavington Green, Lavington, Dagoretti North

",-,"
5
","








5

","
DISCOUNTED SALE !! OF A NEW 5 BEDROOMS TOWNHOU...
",Comfort Valuers Limited,"
KSh 50,000,000
"
2285,"
4 bedroom townhouse for sale in Parklands
","

Parklands, Westlands

",-,"
4
","








2

","
FOUR BEDROOM TOWNHOUSE IN PARKLANDS
",Karengata Property Managers,"
KSh 27,000,000
"
2286,"
5 bedroom house for sale in Kileleshwa
","

Othaya Road, Kileleshwa, Dagoretti North

",-,"
5
","








6

","
5 Bedroom Townhouse with a DSQ in Kileleshwa fo...
",FAPCL Group,"
KSh 47,000,000
"
2287,"
5 bedroom house for sale in Loresho
","

Loresho, Westlands

",-,"
5
","








5

","
Loresho 5 Bedroom House For Rent
",J.M McCarthy Properties Ltd,"
KSh 107,500,000
"
2288,"
4 bedroom townhouse for sale in Runda
","

runda road, Runda, Westlands

",-,"
4
","








4

","
unique 4 bedroom townhouses in RUNDA
",Azizi Realtors,"
KSh 35,000,000
"
2289,"
5 bedroom house for sale in Runda
","

Runda, Westlands

",-,"
5
","








6

","
Runda Meadows, Home, Gated Community
",FAPCL Group,"
KSh 85,000,000
"
2290,"
0.5 ac land for sale in Karen
","

1, Miotoni road, Karen, Langata

",-,-,-,"
Land for sale in Miotoni,Karen
",-,"
KSh 55,000,000
"
2291,"
4 bedroom townhouse for sale in Kiambu Road
","

Kiambu Road, Kiambu Road

","
505 m²
","
4
","








4

","
Stunning 4 Bedroomed Town House For Sale In Fiv...
",LIflac Properties,"
KSh 38,000,000
"
2292,"
5 bedroom house for sale in Runda
","

Mimosa Drive, Runda, Westlands

","
5400 ft²
","
5
","








5

","
5 Bedroom House for Sale in Runda
",Royani Properties Limited,"
KSh 95,000,000
"
2293,"
4 bedroom house for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
4
",-,"
SPACIOUS BUNGALOW FOR SALE IN KILIMANI
",Sema Estate Agents,"
KSh 170,000,000
"
2294,"
3 bedroom apartment for sale in Lavington
","

1019w, Lavington Estate, Hatheru Road, Lavington, Dagoretti North

","
1800 ft²
","
3
","








4

","
Extraordinary three bedroom apartment in Laving...
",Ace Realtors Limited,"
KSh 15,000,000
"
2295,"
2 bedroom apartment for sale in Waiyaki Way
","

muhuri road, Waiyaki Way, Westlands

",-,"
2
","








3

","
APARTMENTS AVAILABLE FOR SALE ALONG WAIYAKI WAY
",Ivy Properties,"
KSh 3,250,000
"
2296,"
5 bedroom house for sale in Runda
","

Eliud Mathu, Runda, Westlands

",-,"
5
","








5

","
5 bedroom house for sale in Runda
",Knight Frank Kenya,"
KSh 125,000,000
"
2297,"
4 bedroom townhouse for sale in Loresho
","

Waiyaki Way, Loresho, Westlands

",-,"
4
","








3

","
4bedroom Townhouse With A Dsq For Sale
",Unique Listings Limited,"
KSh 25,500,000
"
2298,"
0.66 ac residential land for sale in Runda
","

Runda, Westlands

",-,-,-,"
Prime residential land
",Taji Suburbs Ltd,"
KSh 50,000,000
"
2299,"
5 bedroom townhouse for sale in Langata Area
","

Langata Area, Langata

",-,"
5
","








5

","
ULTRA MODERN 5 BEDROOM TOWNHOUSES AT ROYAL PARK
",Olympia Gold Real Estate,"
KSh 29,500,000
"
2300,"
5 bedroom townhouse for sale in Karen
","

Karen, Langata

","
2000 m²
","
5
",-,"
KAREN 5 BEDROOM VILLA +DSQ ON 0.5AC, price drop...
",Splendor Holdings,"
KSh 70,000,000
"
2301,"
5000 ft² warehouse for sale in Industrial Area
","

017, Enterprise road, Industrial Area, Embakasi

","
5000 ft²
",-,-,"
5000 sq feet godown for sale
",Highmack Enterprises,"
KSh 25,000,000
"
2302,"
3 bedroom house for sale in Donholm
","

Donholm, Embakasi

",-,"
3
","








2

","
House for Sale in Donholm- Jacaranda
",Tysons Limited,"
KSh 14,500,000
"
2303,"
4 bedroom villa for sale in Karen
","

Karen, Karen, Langata

","
543 m²
","
4
","








7

","
🔥New 4 Bedrooms + Sq Houses FOR SALE in KAREN.🔥...
",Sir Francis Marketing & Consultants Ltd,"
KSh 88,000,000
"
2304,"
5 bedroom villa for sale in Kitisuru
","

Kitisuru, Westlands

","
700 m²
","
5
","








5

","
5 bedrooms All Ensuite Town House
",Peech Limited,"
KSh 125,000,000
"
2305,"
4 bedroom apartment for sale in Riverside
","

Riverside, Westlands

","
315 m²
","
4
",-,"
3 & 4 BEDROOM DUPLEXES + DSQ +FAMILY ROOM FOR S...
",Splendor Holdings,"
KSh 60,000,000
"
2306,"
0.5 ac land for sale in Karen
","

Mokoyeti East Road, Karen, Langata

",-,-,-,"
Vacant Prime Plot on 0.5 Acres
",Leissure Homes Kenya,"
KSh 32,000,000
"
2307,"
1 ac residential land for sale in Karen
","

Rhino Park Road, Karen, Langata

","
1 ac
",-,-,"
One Acre Plot For Sale in Karen
",Olympia Gold Real Estate,"
KSh 66,000,000
"
2308,"
2 bedroom apartment for sale in Mountain View
","

waiyaki way, 87 junction, Mountain View, Westlands

",-,"
2
","








3

","
ONE AND TWO BEDROOMS APARTMENTS AVAILABLE ALONG...
",Ivy Properties,"
KSh 3,250,000
"
2309,"
Land for sale in Karen
","

Rhino Park, Karen, Langata

",-,-,-,"
5 Acre Land For Sale In Karen
",Royani Properties Limited,"
KSh 60,000,000
"
2310,"
4 bedroom apartment for sale in General Mathenge
","

General Mathenge, Westlands

",-,"
4
","








3

","
Apartment for sale in General Mathenge
",Cura International,"
KSh 45,000,000
"
2311,"
Residential land for sale in Karen
","

Karen, Langata

",-,-,-,"
1acre Red soil land in Westwood Karen
",Badilisha Properties,"
KSh 65,000,000
"
2312,"
5 bedroom house for sale in Karen
","

Karen, Langata

",-,"
5
","








6

","
5 Bedroom Classic and Contemporary Villa for Sa...
",Trisums Investments Company Ltd,"
KSh 57,000,000
"
2313,"
4 bedroom townhouse for sale in Langata Area
","

Nairobi dam estate, Langata Area, Langata

",-,"
4
","








2

","
4 Bedroom Town house for sale in Langata area
",Crystal Valuers LTD,"
KSh 18,499,999
"
2314,"
3 bedroom apartment for sale in Kileleshwa
","

Kangundo Rd, Kileleshwa, Dagoretti North

","
114 m²
","
3
","








2

","
3 Bedroom Apartment to Buy in Kileleshwa Nairob...
",Sky Limits Ventures,"
KSh 9,250,000
"
2315,"
5 bedroom house for sale in Loresho
","

Nairobi, Loresho, Westlands

","
20234 m²
","
5
","








6

","
5 Bedroom Luxurious Gated Community Homes For S...
",Coral Property International Ltd,"
KSh 165,000,000
"
2316,"
4 bedroom townhouse for sale in Garden Estate
","

Garden Estate, Garden Estate, Roysambu

","
2024 m²
","
4
 ","








4

","
4 Bedroom 3 En-suite Standalone House For Sale...
",Simkar Group Limited,"
KSh 85,000,000
"
2317,"
3 bedroom house for sale in Langata Area
","

Langata Area, Langata

",-,"
3
","








1

","
Southlands Maisonette- Langata
",Tysons Limited,"
KSh 15,000,000
"
2318,"
Commercial property for sale in Kilimani
","

Kilimani, Dagoretti North

",-,-,-,"
4 bedroom mansion ate for office use Hurlingham...
",City Homes Kenya Real Estate,"
KSh 80,000
"
2319,"
4 bedroom house for sale in Runda
","

Runda, Westlands

",-,"
4
","








5

","
Modern 4 Bedroom Townhouse for Sale – Runda
",Realty Plus,"
KSh 33,000,000
"
2320,"
5 bedroom townhouse for sale in Runda
","

Runda, Westlands

","
2023 m²
","
5
","








5

","
Exquisite 5 Bedroomed Town House For Sale In Ru...
",LIflac Properties,"
KSh 120,000,000
"
2321,"
4 bedroom townhouse for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
4
",-,"
4bedroom townhouse on sale in Kileleshwa
",Canaan Properties,"
KSh 33,000,000
"
2322,"
2 bedroom house for sale in Kiambu Road
","

Kiambu Road, Kiambu Road

",-,"
2
",-,"
Ineza
",HassConsult,"
KSh 17,500,000
"
2323,"
3 bedroom apartment for sale in Imara Daima
","

Imara Daima, Embakasi

",-,"
3
",-,"
3 Bedroom Plus Dsq For Sale - Imara Gardens
",PMC Estates Limited,"
KSh 11,500,000
"
2324,"
7689 m² commercial land for sale in Garden Estate
","

Near Willmary Estate, Garden Estate, Roysambu

","
7689 m²
",-,-,"
PRIME LAND FOR SALE ALONG THIKA ROAD
",Apogee Realty Homes,"
KSh 350,000,000
"
2325,"
3 bedroom house for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
3
","








2

","
Ayush Court
",Tysons Limited,"
KSh 27,000,000
"
2326,"
Furnished office for sale in Parklands
","

city Park drive, city Park drive, Parklands, Westlands

",-,-,-,"
FURNISHED OFFICE SPACE FOR SALE
",Origin Homes,"
KSh 20,000,000
"
2327,"
4 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
4
","








6

","
4 bed all en-suite duplex penthouse plus DSQ (3...
",Nairobi Property,"
KSh 55,000,000
"
2328,"
 6 bedroom villa for sale in Karen
","

Karen, Karen, Langata

","
6488 ft²
","
6
","








6

","
New Unique Villas FOR SALE in Karen, Rady For O...
",Sir Francis Marketing & Consultants Ltd,"
KSh 95,000,000
"
2329,"
3 bedroom house for sale in Kiambu Road
","

Kiambu Road, Kiambu Road

","
242 m²
","
3
","








3

","
Kiambu Road Villas
",Tysons Limited,"
KSh 32,250,000
"
2330,"
5018 m² residential land for sale in Karen
","

Off Langata Road, Karen, Langata

","
5018 m²
",-,-,"
1.24 Acres Off Langata Road
",HassConsult,"
KSh 45,000,000
"
2331,"
6500 ft² warehouse for sale in Mombasa Road
","

Mombasa Road, Mombasa Road

","
6500 ft²
",-,-,"
Msa Rd Godowns
",Dunhill Consulting Limited,"
P.O.A
"
2332,"
0.2 ha residential land for sale in Karen
","

Kerarapon road, Karen, kerarapon Road, Karen, Langata

",-,-,-,"
1/2 ACRE PLOTS ON KERARAPON ROAD
",Second Exodus Realtors,"
KSh 24,000,000
"
2333,"
5 bedroom townhouse for sale in Runda
","

Runda, Runda Mae Residential Estate, Runda, Westlands

",-,"
5
","








4

","
Runda Town House
",Landmark Realtors Ltd,"
KSh 75,000,000
"
2334,"
4 bedroom house for sale in Karen
","

Karen, Langata

",-,"
4
","








5

","
Beautiful 4Bedroom home Off Bomas near Galleria...
",Badilisha Properties,"
KSh 69,000,000
"
2335,"
Residential land for sale in Karen
","

Karen, Langata

",-,-,-,"
PRIME PLOT IN A SELECT RESIDENTIAL AREA
",Karengata Property Managers,"
KSh 175,000,000
"
2336,"
4 bedroom townhouse for sale in Kiambu Road
","

Kiambu Road, Kiambu Road

","
242 m²
","
4
","








4

","
STUNNING WORLD CLASS TOWNHOUSE
",Olympia Gold Real Estate,"
KSh 35,000,000
"
2337,"
5 bedroom house for sale in Kileleshwa
","

Dik dik Lane, Kileleshwa, Dagoretti North

","
1 ac
","
5
","








6

","
5 br home in Kileleshwa, Dik dik lane,1 Acre.
",-,"
KSh 400,000,000
"
2338,"
3 bedroom apartment for sale in Parklands
","

Parklands, Westlands

","
2300 ft²
","
3
","








3

","
 Modern 3 Bedroom Apartment
",Dayfield Agencies,"
KSh 24,000,000
"
2339,"
1611 ft² office for sale in Kilimani
","

Kindaruma road, Kilimani, Dagoretti North

","
1611 ft²
",-,-,"
OFFICE SPACE FOR SALE IN KILIMANI
",Signature Africa,"
KSh 25,000,000
"
2340,"
5 bedroom villa for sale in Lavington
","

Convent road, Lavington, Dagoretti North

","
350 m²
","
5
","








6

","
🔥New 5 Bedrooms + Sq 350 Sqm FOR SALE and TO LE...
",Sir Francis Marketing & Consultants Ltd,"
KSh 52,000,000
"
2341,"
2 bedroom apartment for sale in Highrise
","

Mbagathi Way, Highrise, Dagoretti South

",-,"
2
",-,"
2 Bedroom Apartment in Seefar Apartments, High-...
",Shingles Kenya Limited,"
KSh 6,950,000
"
2342,"
3 bedroom apartment for sale in Lavington
","

riara road, riara road, Lavington, Dagoretti North

","
177 m²
","
3
","








3

","
QUICK SALE 3 bedroom apartment for sale on riar...
",Kenya Classic Homes,"
KSh 16,000,000
"
2343,"
4 bedroom house for sale in Karen
","

Karen, Langata

",-,"
4
","








4

","
Karen 4 Bedroom Bungalow House For Sale
",J.M McCarthy Properties Ltd,"
KSh 165,000,000
"
2344,"
4 bedroom townhouse for sale in Karen
","

Karen, Langata

",-,"
4
","








5

","
4 bdrm townhouse for sale
",Lighthouse Homes Limited,"
KSh 65,000,000
"
2345,"
3 bedroom villa for sale in Kiambu Road
","

Five Star Paradise, Kiambu Road, Kiambu Road

",-,"
3
 ","








3

","
3 Bedroom House For Sale At Five Star Paradise
",Royani Properties Limited,"
KSh 34,500,000
"
2346,"
5 bedroom villa for sale in Spring Valley
","

Spring Valley, Westlands

","
9000 ft²
","
5
","








6

","
WESTLANDS, LOWER KABETE RD, 5 BEDROOM VILLA +DS...
",Splendor Holdings,"
KSh 170,000,000
"
2347,"
3 bedroom apartment for sale in Lavington
","

Lavington, Dagoretti North

","
2002 ft²
","
3
","








4

","
NEW AND STYLISH 3 BEDROOM APARTMENT FOR SALE IN...
",A1 Properties Ltd,"
KSh 20,000,000
"
2348,"
5 bedroom townhouse for sale in Karen
","

Karen, Langata

",-,"
5
","








5

","
Karen plains
",Real Management Services(2002) Limited,"
KSh 75,000,000
"
2349,"
5 bedroom townhouse for sale in Karen
","

Karen, Langata

",-,"
5
","








6

","
OFFPLAN - 5/6 BEDROOM SIGNATURE HOMES IN KAREN
",A1 Properties Ltd,"
KSh 200,000,000
"
2350,"
4 bedroom house for sale in Nairobi South
","

New Likoni Road, Mombasa Road, Nairobi South, Starehe

","
190 m²
","
4
","








3

","
4 BEDROOM HOUSE FOR SALE-SOUTH B
",Zenith Homes Management Ltd,"
KSh 22,000,000
"
2351,"
5 bedroom townhouse for sale in Lavington
","

Lavington, Dagoretti North

","
700 m²
","
5
","








 6

","
Executive 5 bedrooms all ensuite + DSQ for sal...
",Kenya Classic Homes,"
KSh 75,000,000
"
2352,"
4 bedroom house for sale in Karen
","

Ngong road, Karen, Langata

",-,"
4
","








4

","
Four bedrooms plus DSQ for sale Karen
",Pemukika Agency,"
KSh 100,000,000
"
2353,"
4 bedroom townhouse for sale in Gigiri
","

Gigiri, Westlands

",-,"
4
","








4

","
ELEGANT 4 BEDROOM TOWNHOUSE FOR SALE
",Olympia Gold Real Estate,"
KSh 66,300,000
"
2354,"
5 bedroom house for sale in Runda
","

Evergreen, Runda, Westlands

",-,"
5
","








5

","
5BR HOUSE FOR SALE IN MBUGANI VILLAS RUNDA
",Apogee Realty Homes,"
KSh 120,000,000
"
2355,"
6 bedroom house for sale in Karen
","

Karen Plains, Karen, Langata

",-,"
6
","








5

","
6 BEDROOM RESIDENTIAL HOUSE FOR SALE OR RENT IN...
",Greenstone Real Estate Limited,"
KSh 60,000,000
"
2356,"
4 bedroom townhouse for sale in Parklands
","

Parklands, Westlands

",-,"
4
",-,"
Perfect Renovation Project
",Pam Golding Properties,"
KSh 25,000,000
"
2357,"
0.5 ac land for sale in Loresho
","

Nairobi, Loresho, Westlands

",-,-,-,"
0.5 Acre Plot For Sale In Loresho
",Coral Property International Ltd,"
KSh 38,000,000
"
2358,"
8900 m² residential land for sale in Karen
","

Karen, Langata

","
8900 m²
",-,-,"
Kerarapon 1/4 Acre Residential Plot on Quick Sa...
",Afrique Properties Limited,"
KSh 16,500,000
"
2359,"
5 bedroom house for sale in Runda
","

Runda, Westlands

",-,"
5
","








6

","
5 bedroom house for sale in Runda
",Royal Properties Market Limited,"
KSh 130,000,000
"
2360,"
Residential land for sale in Karen
","

Langata road, Karen, Langata

",-,-,-,"
Plot for sale royal park langata
",Pemukika Agency,"
KSh 9,500,000
"
2361,"
4 bedroom townhouse for sale in Karen
","

Karen, Langata

",-,"
4
","








5

","
KAREN 4 BEDROOM TOWNHOUSE FOR SALE
",Palmier Properties Limited,"
KSh 65,000,000
"
2362,"
 4 bedroom townhouse for sale in Thika Road
","

Kenyatta road, Thika Road, Thika Road

","
250 m²
","
4
","








6

","
Spacious 4 bedroom maissonates plus DSQ for sal...
",Willstone Homes Limited,"
KSh 11,500,000
"
2363,"
Commercial land for sale in Mombasa Road
","

ICD, Mombasa Road, Mombasa Road

",-,-,-,"
7.5-Acres of Land For Sale Located off Mombasa...
",Simkar Group Limited,"
P.O.A
"
2364,"
3 bedroom apartment for sale in Kilimani
","

Arwings kodhek, Kilimani, Dagoretti North

","
125 m²
","
3
","








3

","
Modern 3 bedroom plus dsq available for sale.
",Round The Clock Homes,"
KSh 11,500,000
"
2365,"
3 bedroom house for sale in Mombasa Road
","

Mombasa Road, Mombasa Road

",-,"
3
","








3

","
3 bedroom Maisonette along Mombasa Road
",Azizi Realtors,"
KSh 14,500,000
"
2366,"
4 bedroom townhouse for sale in Thika Road
","

Kenyatta Road, Thika Road, Thika Road

","
250 m²
","
4
","








6

","
Spacious 4 bedroom maissonettes plus DSQ for sa...
",Lucy Affordable Homes,"
KSh 11,500,000
"
2367,"
2 bedroom apartment for sale in Westlands Area
","

1022w, Westlands, Westlands Road, Westlands Area, Westlands

","
1500 ft²
","
2
","








3

","
Prestigious two bedroom apartment situated in W...
",Ace Realtors Limited,"
KSh 21,500,000
"
