property_title,property_location,property_area,property_bedrooms,property_bathrooms,property_description,property_agent,property_price
"
1 bedroom apartment for sale in Kilimani
","

Dennis Pritt road, Kilimani, Dagoretti North

",-,"
1
","








1

","
1 Bedroom apartment for sale in Kilimani
",Upper Deck Homes,"
KSh 9,500,000
"
"
4 bedroom house for sale in Westlands Area
","

Nairobi, Off Church Road, Westlands Area, Westlands

",-,"
4
","








2

","
4 Bedroom House For Sale Off Church Road, Westl...
",Coral Property International Ltd,"
KSh 35,000,000
"
"
Land for sale in Rosslyn
","

Off Limuru Road, Rosslyn, Westlands

",-,-,-,"
1/2 Acre to 1.5 Acres Serviced Plots at Rosslyn...
",Value Line Consulting,"
KSh 65,000,000
"
"
2 bedroom apartment for sale in Kilimani
","

1215p, Kilimani Road, Kilimani, Dagoretti North

","
700 ft²
","
2
","








1

","
Modern two bedroom apartments within Kilimani n...
",Ace Realtors Limited,"
 KSh 7,500,000
"
"
3 bedroom apartment for sale in Kilimani
","

Northcote Apartments, Kilimani, Dagoretti North

","
185 m²
","
3
","








4

","
Northcote Apartments – 3 bedroom apartments for...
",Westlands Avenue Consult,"
KSh 26,000,000
"
"
Studio apartment for sale in Cbd
","

Cbd, Starehe

",-,"
0
",-,"
Eagle Towers Studio
",Rescom Ventures Ltd,"
KSh 3,000,000
"
"
1611 ft² office for sale in Kilimani
","

Kindaruma road, Kilimani, Dagoretti North

","
1611 ft²
",-,-,"
OFFICE SPACE FOR SALE IN KILIMANI
",Signature Africa,"
KSh 25,000,000
"
"
Land for sale in Karen
","

Karen, Langata

",-,-,-,"
2.5 acres available for sale in Karen mbagathi...
",Kiama Homes,"
KSh 142,500,000
"
"
2023.43 m² residential land for sale in Lavington
","

Njumbi Rd, Lavington, Dagoretti North

","
2023 m²
",-,-,"
0.5 ACRES FOR SALE IN LAVINGTON NAIROBI
",Sky Limits Ventures,"
KSh 95,000,000
"
"
3200 ft² commercial land for sale in Utawala
","

Utawala, Embakasi

","
3200 ft²
",-,-,"
40*80 COMMERCIAL PLOT FOR SALE IN UTAWALA-NEAR...
",Havilaplus Estates Ltd,"
KSh 4,200,000
"
"
Studio apartment for sale in Kileleshwa
","

Gatundu Road, Kileleshwa, Dagoretti North

","
35 m²
","
0
","








1

","
Gatundu Heights-Studio Apartment
",XIZI OTIS CO.LTD,"
KSh 4,000,000
"
"
5 bedroom townhouse for sale in Lavington
","

Lavington, Dagoretti North

",-,"
5
","








5

","
ULTRA MODERN AND SPACIOUS 5 BEDROOM TOWNHOUSE...
",A1 Properties Ltd,"
KSh 85,000,000
"
"
Furnished 8 bedroom house for sale in South C
","

012, Ole shapara road, South C, Langata

","
7000 ft²
","
8
","








5

","
8 bedroom house for sale in South C
",Highmack Enterprises,"
KSh 85,000,000
"
"
2024 m² residential land for sale in Runda
","

Runda, Westlands

","
2024 m²
",-,-,"
Pristine 0.5 Acres in Runda
",GerryVille Homes,"
KSh 40,000,000
"
"
2 bedroom apartment for sale in Kilimani
","

KILIMANI, KILIMANI, Kilimani, Dagoretti North

","
75 m²
","
2
","








2

","
AFFORDABLE 2 BEDROOM FOR SALE.
",Round The Clock Homes,"
KSh 6,500,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
3
","








3

","
Affordable 3BR Apartments For Sale
",Alphagate Real Estate,"
KSh 10,500,000
"
"
4 bedroom townhouse for sale in Lavington
","

Lavington, Dagoretti North

",-,"
4
","








5

","
Beautiful and Classy 4 bedroom all ensuite town...
",A1 Properties Ltd,"
KSh 63,000,000
"
"
4 bedroom townhouse for sale in Lavington
","

Lavington, Dagoretti North

",-,"
4
","








3

","
4 BEDROOM TOWNHOUSE FOR SALE IN LAVINGTON, NAIR...
",Knight Frank Kenya,"
KSh 52,000,000
"
"
16 ac land for sale in Loresho
","

off Kaptagat Road, Loresho, Westlands

","
16 ac
",-,-,"
Land for Sale - Loresho
",Eastwood Consulting Ltd,"
KSh 800,000,000
"
"
2 bedroom apartment for sale in Kileleshwa
","

Laikipia Road, Kileleshwa, Dagoretti North

",-,"
2
",-,"
Elegant 3 Bedroom Apartments For Sale In Kilele...
",Coral Property International Ltd,"
KSh 22,500,000
"
"
5 bedroom townhouse for sale in Lavington
","

Lavington, Dagoretti North

","
470 m²
","
5
","








6

","
5 bedrooms townhouse for sale in Lavington
",Kenya Classic Homes,"
KSh 42,000,000
"
"
3 bedroom townhouse for sale in Kiambu Road
","

Kiambu Road, Kiambu Road

","
505 m²
","
3
","








2

","
Beautiful 3 Bedroomed Townhouse For Sale In Ede...
",LIflac Properties,"
KSh 21,500,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Othaya Road, Kileleshwa, Dagoretti North

","
120 m²
","
3
","








2

","
2& 3Bedroom Apartments For Sale-DIAMOND HOMES I...
",Crystal Valuers LTD,"
KSh 10,500,000
"
"
Land for sale in Kahawa West
","

Kahawa West, Roysambu

",-,-,-,"
 KAHAWA WEST PLOTS FOR SALE 40 X 100 (next to Fa...
",Standard Shelters Limited,"
KSh 11,000,000
"
"
3 bedroom apartment for sale in Riverside
","

Riverside, Westlands

",-,"
3
","








4

","
IMMACULATE 3&4 Bed Apartments: SPACIOUS MODERN...
",Citiscape Valuers & Estate Agents Ltd,"
KSh 38,000,000
"
"
Commercial property for sale in Tassia
","

Tassia, Embakasi

",-,-,-,"
A Commercial Shopping Mall (Complex) at Umoja
",Afrique Properties Limited,"
KSh 65,000,000
"
"
1 ac land for sale in Karen
","

Karen, Langata

","
1 ac
",-,-,"
HIGH END SERVICED 1 ACRE PLOTS
",A1 Properties Ltd,"
KSh 61,000,000
"
"
6 bedroom house for sale in Nyari
","

Nyari Estate, Nyari, Westlands

",-,"
6
","








4

","
6 Bedrooms House For Sale in Nyari Estate
",Simkar Group Limited,"
KSh 110,000,000
"
"
Residential land for sale in Runda
","

Runda, Westlands

",-,-,-,"
Prime 1 acre in Runda.
",GerryVille Homes,"
KSh 50,000,000
"
"
Residential land for sale in Karen
","

Forest View Lane, Karen, Langata

",-,-,-,"
0.5 Acre Plots For Sale in Karen Plains
",Simkar Group Limited,"
KSh 30,000,000
"
"
2 bedroom apartment for sale in Brookside
","

Spoonbill Nest, Brookside, Westlands

",-,"
2
",-,"
2 Bedroom Apartment For Sale In Brookside – Spo...
",Coral Property International Ltd,"
KSh 16,500,000
"
"
2 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
2
",-,"
1 & 2 Bedroom
",Bilem Consultants,"
KSh 9,000,000
"
"
8000 ft² commercial property for sale in Industrial Area
","

03, Masai road, Industrial Area, Embakasi

","
8000 ft²
",-,-,"
8000 sq feet Godown/warehouse for sale
",Highmack Enterprises,"
KSh 38,000,000
"
"
Residential land for sale in Nyari
","

Nyari, Westlands

",-,-,-,"
9.3 Acres Land at Nyari, Nairobi Ideal for Resi...
",Afrique Properties Limited,"
KSh 120,000,000
"
"
2 bedroom apartment for sale in Kilimani
","

Kindaruma Road, Kilimani, Dagoretti North

",-,"
2
","








1

","
2 Bedroom Apartments for Sale At Heartland Gard...
",Royani Properties Limited,"
KSh 7,500,000
"
"
5 bedroom house for sale in Brookside
","

Brookside Drive, Brookside, Westlands

","
5000 ft²
","
5
","








4

","
Standalone 5 Bed Home For Sale On Brookside Dri...
",Coral Property International Ltd,"
KSh 85,000,000
"
"
3 bedroom apartment for sale in Riverside
","

Riverside, Westlands

","
3100 ft²
","
3
","








4

","
LUXURY AND COMFORT BROUGHT TO YOU!! 3 BEDROOM D...
",A1 Properties Ltd,"
KSh 44,500,000
"
"
6 bedroom house for sale in Lower Kabete
","

Lower Kabete, Westlands

",-,"
6
",-,"
6 bedrooms all ensuite house.
",Archstone Realtors,"
KSh 165,000,000
"
"
2 bedroom apartment for sale in Garden Estate
","

Garden Estate, Roysambu

",-,"
2
","








2

","
LUXURY LIVING AT GARDEN CITY
",Ricville Properties,"
KSh 12,240,000
"
"
Warehouse for sale in Ruaraka
","

Off Baba Dogo, Nairobi, Ruaraka, Ruaraka

",-,-,-,"
Upcoming Warehouses For Sale In Ruaraka
",Coral Property International Ltd,"
KSh 1
"
"
4 bedroom townhouse for sale in Karen
","

Karen, Langata

","
400 m²
","
4
","








5

","
Beautiful 4 Bedroom Townhouse For Sale in Kare...
",Nuru Breeze Homes Realty Limited,"
KSh 65,000,000
"
"
5 bedroom house for sale in Waiyaki Way
","

David Osieli Road, Nairobi, Waiyaki Way, Westlands

",-,"
5
","








5

","
5 Bedroom Maisonette For Sale on Lantana Road,...
",Coral Property International Ltd,"
KSh 120,000,000
"
"
1 bedroom apartment for sale in Kilimani
","

1215w, Kilimani Estate, Kilimani, Dagoretti North

","
400 ft²
","
1
","








1

","
Modern one bedroom apartments within Kilimani n...
",Ace Realtors Limited,"
KSh 5,000,000
"
"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

","
70 m²
","
2
","








2

","
Exquisite 2 BEDS FROM 7M TO 8.8M
",Round The Clock Homes,"
KSh 7,000,000
"
"
Studio apartment for sale in Ngara
","

Musindi road, Ngara, Starehe

","
37 m²
","
0
","








1

","
𝑩𝒆𝒂𝒖𝒕𝒊𝒇𝒖𝒍 𝒘𝒆𝒍𝒍 𝒇𝒊𝒏𝒊𝒔𝒉𝒆𝒅 Studio Apartment for Sa...
",Signature Africa,"
KSh 3,500,000
"
"
Land for sale in Thome
","

Thome, Roysambu

",-,-,-,"
PRIME LAND FOR SALE - THOME
",Citiscape Valuers & Estate Agents Ltd,"
KSh 29,000,000
"
"
2 bedroom apartment for sale in Rhapta Road
","

St. Michael Road, Rhapta Road, Westlands

","
130 m²
","
2
","








3

","
MODERN TWO BEDROOMS FOR SALE IN WESTLAND
",Calmillers Holding Ltd,"
KSh 15,500,000
"
"
Studio apartment for sale in Kileleshwa
","

Kileleshwa, Kileleshwa, Dagoretti North

","
30 m²
","
0
","








1

","
Off plan Studios Apartments for Sale in Kileles...
",Sky Limits Ventures,"
KSh 3,800,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Laikipia road, Kileleshwa, Dagoretti North

",-,"
3
","








2

","
Three bedrooms apartments for sale in Kileleshw...
",Calmillers Holding Ltd,"
KSh 11,500,000
"
"
3 bedroom apartment for sale in Lavington
","

924m, Lavington Estate, Hatheru Road, Lavington, Dagoretti North

","
1800 ft²
","
3
","








3

","
Extraordinary three bedroom apartment in Laving...
",Ace Realtors Limited,"
KSh 15,000,000
"
"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
2
","








2

","
2 Bedroom Apartment for sale in Kilimani
",Ring Kenya Ltd,"
KSh 6,800,000
"
"
2 bedroom apartment for sale in Kilimani
","

Dennis Prritt, Kilimani, Dagoretti North

",-,"
2
","








2

","
2 Bedroom Apartment For Sale In Kilimani.
",Ring Kenya Ltd,"
KSh 16,500,000
"
"
1.25 ac land for sale in Runda
","

Runda, Westlands

","
1 ac
",-,-,"
1.25 Acre Plot For Sale In Runda
",Coral Property International Ltd,"
KSh 115,000,000
"
"
5 bedroom townhouse for sale in Westlands Area
","

East Church Road, Westlands Area, Westlands

",-,"
5
","








4

","
5 Bedrooms Maisonette For Sale in Westlands - E...
",Simkar Group Limited,"
KSh 48,000,000
"
"
Studio apartment for sale in Roysambu Area
","

Thika Road, Roysambu Area, Roysambu

",-,"
0
",-,"
Affordable Studio & 1 bedroom Apartments for Sa...
",Nicmar Properties,"
KSh 1,700,000
"
"
Residential land for sale in Kiambu Road
","

Kiambu Road, Kiambu Road

",-,-,-,"
1/4 Acre Residential Plot Kiambu Road
",Afrique Properties Limited,"
KSh 14,000,000
"
"
4 bedroom apartment for sale in Parklands
","

Batu Hill, Parklands, Westlands

",-,"
4
","








4

","
4 Bedroom Apartment For Sale At Batu Hill Apart...
",Coral Property International Ltd,"
KSh 25,000,000
"
"
1 bedroom apartment for sale in Westlands Area
","

Westlands Area, Westlands

",-,"
1
",-,"
Modern 1bedroom on sale in Westlands
",Canaan Properties,"
KSh 6,000,000
"
"
5 bedroom townhouse for sale in Kyuna
","

Grevillea Grove, Kyuna, Westlands

","
420 m²
","
5
","








6

","
5 BR (all en suite) + DSQ Townhouse
",Prima Properties Ke,"
KSh 54,000,000
"
"
5 bedroom house for sale in Kyuna
","

Nairobi, Kyuna, Westlands

","
4200 ft²
","
5
","








5

","
5 Bedroom Villa For Sale In Kibagare Valley, Ky...
",Coral Property International Ltd,"
KSh 80,000,000
"
"
3 bedroom apartment for sale in Lavington
","

Lavington, Lavington, Dagoretti North

","
180 m²
","
3
","








4

","
3BR ALL ENSUITE PLUS DSQ
",Balis Properties,"
KSh 19,000,000
"
"
5 bedroom house for sale in Langata Area
","

Munderendu Road, Langata Area, Langata

",-,"
5
","








3

","
5 BEDROOM HOUSE WITH A 2 BEDROOM GUEST WINGFOR...
",Knight Frank Kenya,"
KSh 150,000,000
"
"
2 bedroom apartment for sale in Ngara
","

Quarry Road, Ngara, Starehe

",-,"
2
","








1

","
Affordable and Low-Cost Homes for Sale
",Property Zone East Africa,"
KSh 2,650,000
"
"
Furnished studio apartment for sale in Waiyaki Way
","

Waiyaki way, Off Waiyaki Way, Waiyaki Way, Westlands

",-,"
0
","








1

","
Furnished Studio Apartment in Westlands close...
",Laser Property Services Ltd,"
KSh 4,500,000
"
"
3 bedroom house for sale in Kasarani Area
","

Kasarani Area, Kasarani

",-,"
3
",-,"
Two bedroom houses in Kiamumbi Estate, Kamiti R...
",PMC Estates Limited,"
KSh 130,000,000
"
"
Furnished 3 bedroom apartment for sale in Riverside
","

Riverside, Riverside, Westlands

",-,"
3
","








4

","
Furnished 3BR Apartments For Sale
",Alphagate Real Estate,"
KSh 15,500,000
"
"
5 bedroom townhouse for sale in Lavington
","

Lavington, Dagoretti North

",-,"
5
","








5

","
STUNNING STATE OF THE ART TOWNHOUSE FOR SALE
",Olympia Gold Real Estate,"
KSh 90,000,000
"
"
4 bedroom townhouse for sale in Lavington
","

Lavington, Dagoretti North

",-,"
4
","








5

","
4 Bedroom Townhouse For Sale in Lavington
",Trisums Investments Company Ltd,"
KSh 85,000,000
"
"
1 bedroom apartment for sale in Kileleshwa
","

Gatundu Rd, Kileleshwa, Dagoretti North

","
50 m²
","
1
","








1

","
1 Bedroom Apartment for Sale in Kileleshwa
",Sky Limits Ventures,"
KSh 5,000,000
"
"
3 bedroom apartment for sale in Baraka/Nyayo
","

Nyayo Estate, Baraka/Nyayo, Embakasi

",-,"
3
","








2

","
Flat for Sale
",Red Knot  Properties Limited,"
KSh 8,000,000
"
"
4 bedroom house for sale in Ngong Road
","

Ngong Road, Ngong Road

",-,"
4
","








4

","
Modern 4 bedroom all ensuite houses in Ngong, B...
",Own Properties Ltd,"
KSh 7,500,000
 "
"
4 bedroom house for sale in New Kitusuru
","

Eel Close, New Kitusuru, Westlands

","
2023 m²
","
4
","








4

","
4 Bedroom All En-Suite House For Sale in New Ki...
",Simkar Group Limited,"
KSh 65,000,000
"
"
1 bedroom apartment for sale in Runda
 ","

Runda, Westlands

",-,"
1
","








 1

","
Affordable Housing in a Great Location!
",HAMMOCK & PALMS AFRICA,"
KSh 4,900,000
"
"
5 bedroom house for sale in Donholm
","

Donholm, Embakasi

",-,"
5
",-,"
5 bedroom House in Jacaranda for Sale
",Gimco Limited,"
KSh 16,000,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Elina Residence, Mandere Road, Kileleshwa, Dagoretti North

","
2200 ft²
","
3
","








4

","
3 Bedroom Apartments & 4 Bedroom Penthouses for...
",Crystal Valuers LTD,"
KSh 22,000,000
"
"
5 bedroom house for sale in Karen
","

Bogani Road, Karen, Langata

","
1416 m²
","
5
","








5

","
Newly built 5 bedroom houses for sale in Karen
",Knight Frank Kenya,"
KSh 77,500,000
"
"
Studio apartment for sale in Ngong Road
","

Lynx apartments, Ngong Road, Ngong Road

",-,"
0
","








1

","
 Studio apartment for sale Ngong road
",Crystal Valuers LTD,"
KSh 4,700,000
"
"
5 ac residential land for sale in South B
","

Likoni Rd, South B, Langata

","
5 ac
",-,-,"
5 ACRE LAND SOUTH B FOR SALE
",LYNDUM ENTERPRISES,"
KSh 870,000,000
"
"
Land for sale in Runda
","

Runda, Westlands

",-,-,-,"
Land for sale - Runda
",Archstone Realtors,"
KSh 120,000,000
"
"
1 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
1
",-,"
Affordable 1 & 2 BR Apartments
",Alphagate Real Estate,"
KSh 5,000,000
"
"
506 m² residential land for sale in Utawala
","

Kangungo Rd - Kipawa Area, Utawala, Embakasi

","
506 m²
",-,-,"
PRIME RESIDENTIAL PLOTS FOR SALE AT KAMULU - PI...
",Wainaina Real Estate Agents,"
KSh 2,000,000
"
"
3 bedroom apartment for sale in Loresho
","

Bridgeview Park Apartments, Loresho, Westlands

","
129 m²
","
3
","








2

","
3 bedrooms apartments off Waiyaki way, Loresh...
",Crystal Valuers LTD,"
KSh 11,200,000
"
"
5 bedroom townhouse for sale in Lavington
","

Lavington, Dagoretti North

",-,"
5
","








6

","
5 Bedrooms For Sale
",Rockfield Management Ltd,"
KSh 55,000,000
"
"
1 bedroom apartment for sale in Kilimani
","

Kilimani, Kilimani, Kilimani, Dagoretti North

","
42 m²
","
1
","








1

","
BEAUTY AND LUXURY
",Space Lux Ltd,"
KSh 4,200,000
"
"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

","
11 m²
","
2
","








2

","
2 Bedroom Apartments For Sale in Kilimani
",Trisums Investments Company Ltd,"
KSh 12,000,000
"
"
5 bedroom house for sale in Garden Estate
","

Garden Estate, Garden Estate, Garden Estate, Roysambu

",-,"
5
","








6

","
GARDEN ESTATE, FIVE-BEDROOM HOUSE FOR SALE
",Mahalo Properties Limited,"
KSh 67,500,000
"
"
5 bedroom house for sale in Kyuna
","

Kyuana, Kyuna, Westlands

","
11000 ft²
","
5
","








6

","
5 Bedroom Ambassadorial House For Sale in Kyuna
",Simkar Group Limited,"
KSh 360,000,000
"
"
3 bedroom apartment for sale in Kilimani
","

924M, Kilimani, Near Yaya Centre, Kilimani, Dagoretti North

","
1600 ft²
","
3
","








3

","
A complex offering modern three apartments near...
",Ace Realtors Limited,"
KSh 14,500,000
"
"
Studio apartment for sale in Kileleshwa
","

Othaya RD, Kileleshwa, Dagoretti North

",-,"
0
","








1

","
STUDIO APARTMENT FOR SALE IN KILELESHWA, OTHAYA...
",Knitter Properties Kenya,"
KSh 3,800,000
"
"
Residential land for sale in Nyari
","

Nyari central, Nyari, Westlands

",-,-,-,"
A prime plot for sale in nyari.
",Spacetech Enterprises,"
KSh 120,000,000
"
"
2 bedroom apartment for sale in Riverside
","

Riverside Drive, Riverside, Westlands

",-,"
2
","








2

","
Grand residence
",Real Management Services(2002) Limited,"
KSh 20,000,000
"
"
1 ac residential land for sale in Karen
","

Ngong' road, Karen, Karen, Langata

","
1 ac
",-,-,"
An acre for sale in Karen.
",Mencia Management Ltd.,"
KSh 60,000,000
"
"
Land for sale in Lavington
","

Muthangari Road, Lavington, Dagoretti North

",-,-,-,"
0.78acre Plot For Sale, Lavington
",Unique Listings Limited,"
KSh 180,000,000
"
"
4 bedroom house for sale in Kyuna
","

Kyuna, Westlands

",-,"
4
",-,"
Kyuna 4bedroom House on Sale in Kyuna
",Canaan Properties,"
KSh 95,000,000
"
"
3 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
3
","








3

","
BRAND NEW 3 BEDROOM APARMENT WITH DSQ.
",Wilnas Property Ltd,"
KSh 17,000,000
"
"
Commercial land for sale in Langata Area
","

Langata link road, Langata Area, Langata

",-,-,-,"
3 acres for sale behind wilson airport
",CIBCON COMPANY LIMITED,"
KSh 90,000,000
"
"
4 bedroom townhouse for sale in Garden Estate
 ","

Garden Estate, Garden Estate, Roysambu

","
2024 m²
","
4
","








4

","
4 Bedroom 3 En-suite Standalone House For Sale...
",Simkar Group Limited,"
KSh 85,000,000
"
"
2023 m² residential land for sale in Karen
","

Karen, Langata

","
2023 m²
",-,-,"
½ Acre Land for Sale in Karen.
",Ring Kenya Ltd,"
KSh 35,000,000
"
"
0.48 ac land for sale in North Muthaiga
","

North Muthaiga, Muthaiga

",-,-,-,"
RESIDENTIAL LAND FOR SALE IN MUTHAIGA NORTH
",Ricville Properties,"
KSh 39,999,999
"
"
4 bedroom apartment for sale in General Mathenge
","

Nairobi, General Mathenge, Westlands

","
3800 ft²
","
4
","








3

","
A 4 Bedroom Apartment For Sale & Rent In Genera...
",Coral Property International Ltd,"
KSh 32,000,000
"
"
2 bedroom apartment for sale in Kilimani
","

Heartland Gardens Apartments, Kilimani, Dagoretti North

",-,"
2
","








2

","
Studios, 1 & 2 bedroom apartments for Sale in H...
",Crystal Valuers LTD,"
KSh 9,000,000
"
"
2020 m² land for sale in Runda
","

Runda, Westlands

","
2020 m²
",-,-,"
Runda ,Muringa
",Nulands  Limited,"
KSh 35,000,000
"
"
3 bedroom apartment for sale in General Mathenge
","

General Mathenge, General Mathenge, Westlands

",-,"
3
","








4

","
3 Bedroom Apartment for sale in Westlands
",Sky Limits Ventures,"
KSh 40,000,000
"
"
3497 m² residential land for sale in Karen
","

Lower Plains Road, Karen, Langata

","
3497 m²
",-,-,"
0.864 Acres Prime Plot For Sale in Karen
",Simkar Group Limited,"
KSh 48,000,000
"
"
3 bedroom apartment for sale in Lavington
","

Lavington, Dagoretti North

","
210 m²
","
3
","








4

","
Exquisite 3 Bedroom Apartment For Sale in Lavin...
",Nuru Breeze Homes Realty Limited,"
KSh 21,000,000
"
"
4 bedroom villa for sale in Westlands Area
","

School lane, Westlands Area, Westlands

",-,"
4
","








4

","
Spacious
",Halifax Estate Agency,"
KSh 47,000,000
"
"
2631 m² land for sale in Loresho
","

Loresho, Westlands

","
2631 m²
",-,-,"
0.65 acres for sale in Loresho ,Kaumoni
",Royal Properties Market Limited,"
KSh 58,000,000
"
"
3 bedroom house for sale in Lavington
","

Lavington, Dagoretti North

",-,"
3
","








2

","
3 Bedroom house on sale in Lavington
",Ring Kenya Ltd,"
KSh 21,200,000
"
"
2 bedroom apartment for sale in Kasarani Area
","

Kasarani Area, Kasarani

",-,"
2
","








1

","
265 Elmer One Apartments: Two bedroom units
",Centum Real Estate,"
KSh 5,200,000
"
"
3 bedroom apartment for sale in Loresho
 ","

Loresho, Westlands

",-,"
3
","








4

","
STARTLING 3 BED APARTMENTS + DSQ
",Citiscape Valuers & Estate Agents Ltd,"
KSh 18,500,000
"
"
4 bedroom apartment for sale in Kileleshwa
","

Oloitoktok, Kileleshwa, Dagoretti North

","
365 m²
","
4
","








5

","
Luxurious 4 BR Apartments (all en suite) + DSQ...
",Prima Properties Ke,"
KSh 23,500,000
"
"
4 bedroom townhouse for sale in Lavington
","

Lavington, Dagoretti North

",-,"
4
","








4

","
A CHARMING ARCHITECTURAL ELEMENT
",Olympia Gold Real Estate,"
KSh 68,000,000
"
"
2 bedroom apartment for sale in Kilimani
","

Kilimani, Dagoretti North

",-,"
2
","








1

","
2 bedroom apartment for sale along Ngong road
",Crystal Valuers LTD,"
KSh 8,300,000
"
"
4 bedroom townhouse for sale in Lavington
","

St Austin Gardens, Lavington, Dagoretti North

",-,"
4
","








5

","
4 Bedrooms Townhouse
",Rockfield Management Ltd,"
KSh 80,000,000
"
"
5 bedroom townhouse for sale in Lavington
","

Naushad Merali Drive, Lavington, Dagoretti North

",-,"
5
","








5

","
5 BEDROOM TOWNHOUSE FOR SALE IN LAVINGTON AT KE...
",Hanspace Limited,"
KSh 65,000,000
"
"
1 bedroom apartment for sale in Kilimani
","

Kilimani, Kilimani, Dagoretti North

","
500 ft²
","
1
","








1

","
URBAN 1BEDROOM APARTMENT
",Balis Properties,"
KSh 5,000,000
"
"
1 bedroom apartment for sale in Ngong Road
","

Ngong Road, Ngong Road

",-,"
1
",-,"
Studio, 1 and 2 Bedroom apartments in an exclus...
",Gimco Limited,"
KSh 3,500,000
"
"
Residential land for sale in North Muthaiga
","

North Muthaiga, Muthaiga

",-,-,-,"
Muthaiga North Prime Plot with a Perimeter Wall
",Afrique Properties Limited,"
KSh 50,000,000
"
"
4040 ft² warehouse for sale in Ruaraka
","

Baba Dogo Road, Ruaraka, Ruaraka

","
4040 ft²
",-,-,"
Warehouses For Sale Off Baba Dogo Road – Jasmay...
",Coral Property International Ltd,"
KSh 22,220,000
"
"
Warehouse for sale in South C
","

South C, Langata

",-,-,-,"
An Industrial Complex Of 7 Warehouses For Sale
",Halifax Estate Agency,"
KSh 160,000,000
"
"
Residential land for sale in Utawala
","

Skyview Court, Utawala, Embakasi

",-,-,-,"
A Plot For Sale in Utawala
",Royal Gate properties Kenya,"
KSh 9,000,000
"
"
5 bedroom house for sale in Loresho
","

Loresho, Westlands

",-,"
5
","








6

","
BEAUTIFUL SMARTHOME FOR SALE IN LORESHO
",Ricville Properties,"
KSh 160,000,000
"
"
2 bedroom apartment for sale in Kilimani
","

Near Yaya center, Kilimani, Dagoretti North

",-,"
 2
","








2

","
An ultra-modern 2 bedroom master en-suite apart...
",Yellow Market,"
KSh 9,000,000
"
"
Commercial property for sale in Ngara
","

Kipande Road, Ngara, Starehe

",-,"
 1
","








1

","
STUDIO APARTMENTS FOR SALE IN NGARA ALONG KIPAN...
",Mahalo Properties Limited,"
KSh 260,000,000
"
"
450 m² land for sale in Mombasa Road
","

Konza, Mombasa Road, Mombasa Road

","
450 m²
",-,-,"
Savannah Viewpoint – Konza (50 x 100)
",Jaybee Properties,"
KSh 1,500,000
"
"
5 bedroom house for sale in Lower Kabete
","

Lower Kabete, Westlands

",-,"
5
",-,"
Executive townhouse for Sale
",Nickville Shelters,"
KSh 89,000,000
"
"
3 bedroom apartment for sale in Westlands Area
","

Westlands Area, Westlands

","
3030 ft²
","
3
","








3

","
3 bedroom apatment for Sale in Westalands
",Newpoint Properties,"
KSh 35,000,000
"
"
2 bedroom apartment for sale in Kileleshwa
","

Kileleshwa, Dagoretti North

",-,"
2
","








3

","
2BEDROOM PLUS DSQ , FITTED KITCHEN IN KILELESHW...
",Properties 360,"
KSh 16,500,000
"
"
5 bedroom villa for sale in Lavington
","

Amboseli, Lavington, Dagoretti North

",-,"
5
","








5

","
Spacious
",Halifax Estate Agency,"
KSh 58,000,000
"
"
4 bedroom villa for sale in Ngong Road
","

ngong, Ngong Road, Ngong Road
 
",-,"
4
","








5

","
NGONG 4 BEDROOM VILLA
",Royal Properties Market Limited,"
KSh 24,500,000
"
"
3 bedroom apartment for sale in Kilimani
","

Muringa Road, Kilimani, Dagoretti North

","
165 m²
","
3
","








2

","
EXQUISITE 2,3& 4 Bed Apartments For Sale In KI...
",Crystal Valuers LTD,"
KSh 16,500,000
"
"
4 bedroom apartment for sale in General Mathenge
","

General Mathenge, Westlands

",-,"
4
","








5

","
Krishna Pride Apartments
",Real Management Services(2002) Limited,"
KSh 30,000,000
"
"
Furnished 1 bedroom apartment for sale in Upper Hill
","

Upper Hill, Langata

","
71 m²
","
1
","








2

","
Laurel Hill Suites - 1 Bedroom Apartment
",Laureland Homes,"
KSh 10,500,000
"
"
4 bedroom house for sale in Karen
","

Karen, Langata

",-,"
4
","








4

","
A charming 4 bedroom house on half acre is avai...
",Kiama Homes,"
KSh 85,000,000
"
"
3 bedroom apartment for sale in Kilimani
","

Kilimani, Kilimani, Dagoretti North

","
133 m²
","
3
","








2

","
EXTRAORDINARY 3BEDROOMS, 3BATHROOMS & A HOME OF...
",Balis Properties,"
KSh 11,500,000
"
"
4 bedroom house for sale in Karen
","

Kikenni Road, Karen, Langata

",-,"
4
","








3

","
4 bedroom Kikenni bungalow for sale\rent.
",Mencia Management Ltd.,"
KSh 55,000,000
"
